group,name,Income,2024 score,2016,2017,2018,2019,2020,2021,2022,2023,2024,Since 2016
Europe & Central Asia,Estonia,High,88.78750000000001,80.59458333333333,80.18791666666667,86.75500000000001,86.41375,86.54625,86.86916666666666,91.89208333333336,92.79458333333332,88.78750000000001,8.192916666666676
Europe & Central Asia,Austria,High,89.34791666666668,86.32208333333334,86.22958333333332,87.83833333333335,86.79333333333335,88.4525,90.96416666666669,90.10291666666669,92.64666666666668,89.34791666666668,3.0258333333333383
Europe & Central Asia,Lithuania,High,89.36125,78.56916666666666,78.65083333333334,85.10875,84.94375000000001,85.08625,91.10541666666668,90.57083333333334,93.48083333333336,89.36125,10.792083333333338
Europe & Central Asia,Germany,High,90.05541666666667,84.90666666666667,85.56791666666666,87.44166666666669,87.82791666666667,87.80624999999999,92.13916666666664,91.78208333333332,92.47083333333336,90.05541666666667,5.148750000000007
Europe & Central Asia,Finland,High,90.37125000000002,87.46125,88.54583333333335,88.7475,88.84750000000001,90.79083333333332,94.3075,93.74916666666668,95.11541666666668,90.37125000000002,2.910000000000011
Europe & Central Asia,Portugal,High,90.70791666666666,85.67500000000001,86.14375000000001,85.95916666666668,86.25916666666666,87.14958333333334,91.56875,92.35833333333332,93.77833333333332,90.70791666666666,5.032916666666651
Europe & Central Asia,Italy,High,90.93125,88.62416666666665,88.47041666666667,88.18791666666665,88.19916666666667,88.61666666666667,92.48583333333332,91.4525,93.63875000000002,90.93125,2.3070833333333525
Europe & Central Asia,Romania,High,91.04500000000002,,72.455,78.16916666666667,79.17791666666668,84.45791666666668,82.57458333333334,86.64625000000001,88.61750000000002,91.04500000000002,
Europe & Central Asia,Slovenia,High,91.08666666666667,86.86625000000001,88.30791666666667,88.34,88.60125000000001,89.78708333333334,93.07,92.70416666666668,94.22041666666668,91.08666666666667,4.220416666666665
Europe & Central Asia,Poland,High,91.10625000000002,81.71958333333333,82.58416666666668,88.22958333333332,89.07083333333333,89.90041666666669,94.58583333333334,94.18875,94.65375,91.10625000000002,9.386666666666684
Europe & Central Asia,Spain,High,91.82291666666669,86.09083333333334,86.78708333333334,87.51541666666667,88.52416666666667,87.93374999999999,91.53416666666668,91.5025,94.325,91.82291666666669,5.73208333333335
Europe & Central Asia,Denmark,High,92.05041666666666,79.63833333333335,81.11791666666666,88.76458333333332,88.88208333333334,89.45916666666666,94.41458333333334,93.20333333333336,95.25583333333334,92.05041666666666,12.412083333333314
Europe & Central Asia,Sweden,High,92.66125,88.02958333333333,88.67125,88.72166666666668,88.86416666666668,90.25875,93.44291666666666,92.96125000000002,94.41,92.66125,4.631666666666661
Europe & Central Asia,Norway,High,94.14333333333332,78.82208333333334,82.61625,90.1625,90.09375,90.46833333333332,93.7625,92.69916666666668,94.55666666666669,94.14333333333332,15.321249999999978
Europe & Central Asia,Channel Islands,High,,,,,,,,,,,
Europe & Central Asia,Faroe Islands,High,,,,,,,,,,,
Europe & Central Asia,Gibraltar,High,,,,,,,,,,,
Europe & Central Asia,Greenland,High,,,,,,,,,,,
Europe & Central Asia,Isle of Man,High,,,,,,,,,,,
Europe & Central Asia,Kosovo,Upper middle,,,,,,,,,,,
Europe & Central Asia,Liechtenstein,High,,,,,,,,,,,
Europe & Central Asia,Monaco,High,,,,,,,,,,,
Europe & Central Asia,San Marino,High,,,,,,,,,,,
Latin America & Caribbean,Haiti,Lower middle,38.74416666666667,36.18666666666668,40.66499999999999,41.24250000000001,34.67958333333333,38.25208333333334,40.57208333333334,36.55666666666667,37.60541666666667,38.74416666666667,2.5574999999999903
Latin America & Caribbean,"Venezuela, RB",Not classified,39.4575,45.18,52.16791666666667,49.03833333333333,47.865,47.94625,49.57,48.626666666666665,39.3925,39.4575,-5.722499999999997
Latin America & Caribbean,Dominica,Upper middle,40.70708333333333,,,,,40.54291666666667,38.88041666666667,35.7225,36.342499999999994,40.70708333333333,
Latin America & Caribbean,St. Kitts and Nevis,High,42.65916666666667,,,,,35.608333333333334,44.90416666666667,44.77375000000001,38.16083333333333,42.65916666666667,
Latin America & Caribbean,Grenada,Upper middle,50.81041666666668,,,,,,,48.40916666666668,49.06583333333334,50.81041666666668,
Latin America & Caribbean,"Bahamas, The",High,51.25708333333334,36.702083333333334,38.70333333333333,48.925833333333344,45.45416666666667,48.473333333333336,53.15791666666667,53.24916666666667,51.76666666666667,51.25708333333334,14.555000000000007
Latin America & Caribbean,St. Vincent and the Grenadines,Upper middle,51.95916666666667,39.17875,37.63125,45.26083333333334,48.124583333333334,47.669583333333335,48.53625,48.27958333333334,48.38708333333334,51.95916666666667,12.780416666666667
Latin America & Caribbean,Guyana,High,54.05833333333333,35.88666666666667,35.0425,44.80083333333334,48.64958333333334,50.17375,54.3075,53.10458333333333,54.052083333333336,54.05833333333333,18.17166666666666
Latin America & Caribbean,Nicaragua,Lower middle,55.803749999999994,48.187916666666666,47.95416666666667,51.520833333333336,51.654583333333335,49.17458333333333,56.591249999999995,55.35875,56.45375,55.803749999999994,7.6158333333333275
Latin America & Caribbean,Suriname,Upper middle,58.62500000000001,36.51625000000001,42.126250000000006,53.38,51.47291666666667,55.86666666666667,61.94583333333333,58.33208333333333,57.537499999999994,58.62500000000001,22.10875
Latin America & Caribbean,Trinidad and Tobago,High,59.38416666666667,38.927083333333336,39.83083333333334,47.01125,44.543333333333344,44.53625,55.444166666666675,57.947083333333325,57.782083333333325,59.38416666666667,20.457083333333337
Latin America & Caribbean,Barbados,High,61.73916666666667,,,,,,,60.696250000000006,62.83500000000001,61.73916666666667,
Latin America & Caribbean,Antigua and Barbuda,High,63.21083333333335,,,,,44.47208333333333,50.2375,51.63958333333334,60.3175,63.21083333333335,
Latin America & Caribbean,St. Lucia,Upper middle,64.17458333333333,56.24500000000001,57.117916666666666,55.905416666666675,51.82416666666667,62.23708333333333,65.72166666666666,63.67333333333334,64.33083333333333,64.17458333333333,7.929583333333319
Latin America & Caribbean,Honduras,Lower middle,65.6825,59.21125000000001,61.21291666666666,61.41000000000001,61.17625,58.044583333333335,60.782500000000006,60.443333333333335,65.50083333333333,65.6825,6.471249999999998
Latin America & Caribbean,Belize,Upper middle,67.68416666666667,48.05583333333334,51.71125000000001,58.51291666666667,56.76541666666668,56.69708333333334,64.30666666666667,65.84333333333335,66.78833333333334,67.68416666666667,19.62833333333333
Latin America & Caribbean,Bolivia,Lower middle,70.23208333333334,58.11416666666667,61.7525,59.072500000000005,58.986250000000005,60.70041666666667,67.14958333333334,67.02416666666667,68.85833333333335,70.23208333333334,12.117916666666666
Latin America & Caribbean,Jamaica,Upper middle,73.46791666666667,51.025416666666665,54.08583333333333,59.650416666666686,58.64291666666668,60.44166666666669,71.22583333333334,68.99958333333333,71.37208333333334,73.46791666666667,22.442500000000003
Latin America & Caribbean,El Salvador,Upper middle,73.74000000000001,67.36958333333334,68.12083333333334,69.94166666666666,69.46333333333334,65.07708333333333,74.4175,74.09333333333333,75.56083333333335,73.74000000000001,6.370416666666671
Latin America & Caribbean,Paraguay,Upper middle,74.20791666666668,53.02041666666666,55.74416666666666,57.63541666666667,59.37958333333333,65.66708333333334,70.04875,71.29333333333334,71.61833333333333,74.20791666666668,21.187500000000014
Latin America & Caribbean,Dominican Republic,Upper middle,75.21583333333334,63.17166666666667,65.745,63.12833333333333,64.83458333333334,64.95250000000001,70.68958333333335,73.20833333333333,74.45333333333333,75.21583333333334,12.04416666666667
Latin America & Caribbean,Panama,High,77.7325,54.93416666666667,57.617916666666666,62.90833333333333,64.58458333333333,67.62875,71.62833333333334,73.43625,76.27958333333335,77.7325,22.798333333333332
Latin America & Caribbean,Guatemala,Upper middle,79.35583333333335,58.85333333333334,62.16,63.132500000000014,62.536249999999995,69.755,74.03416666666668,72.97291666666666,76.93791666666668,79.35583333333335,20.502500000000012
Latin America & Caribbean,Ecuador,Upper middle,79.85833333333333,70.36958333333332,71.03375,72.91041666666665,72.44666666666667,74.20083333333334,78.57333333333334,78.57708333333335,78.47458333333334,79.85833333333333,9.48875000000001
Latin America & Caribbean,Uruguay,High,80.14666666666668,65.53250000000001,68.3375,67.80083333333334,66.99208333333334,70.64583333333334,80.94,76.67458333333332,81.10041666666666,80.14666666666668,14.614166666666662
Latin America & Caribbean,Argentina,Upper middle,80.39083333333335,65.46833333333333,69.09583333333332,68.94291666666666,69.43916666666667,72.1175,77.72791666666666,76.46916666666668,79.18541666666667,80.39083333333335,14.922500000000014
Latin America & Caribbean,Peru,Upper middle,81.98124999999999,62.89375000000001,66.11833333333334,68.27291666666666,68.01291666666667,68.24625,75.79666666666668,77.17291666666667,78.71583333333334,81.98124999999999,19.087499999999977
Latin America & Caribbean,Brazil,Upper middle,82.30833333333335,74.27708333333334,74.24666666666667,77.61333333333333,79.25708333333334,79.17083333333332,81.21291666666667,81.08041666666666,80.63916666666667,82.30833333333335,8.031250000000014
Latin America & Caribbean,Colombia,Upper middle,83.43833333333333,71.59,71.9825,72.27541666666667,74.09541666666667,79.06833333333333,82.7475,82.22375000000001,83.27250000000002,83.43833333333333,11.84833333333333
